ID,STICKER,Date,Open,High,Low,Close,Adj Close,Volume,SOURCE
1,AAPL,31/08/2023,187.839996,189.119995,187.479996,187.869995,186.913528,60794500,Yfinnce
2,AAPL,01/09/2023,189.490005,189.919998,188.279999,189.460007,188.495453,45732600,Yfinnce
3,AAPL,05/09/2023,188.279999,189.979996,187.610001,189.699997,188.734222,45280000,Yfinnce
4,AAPL,06/09/2023,188.399994,188.850006,181.470001,182.910004,181.978806,81755800,Yfinnce
5,AAPL,07/09/2023,175.179993,178.210007,173.539993,177.559998,176.656021,112488800,Yfinnce
6,AAPL,08/09/2023,178.350006,180.240005,177.789993,178.179993,177.272888,65551300,Yfinnce
7,AAPL,11/09/2023,180.070007,180.300003,177.339996,179.360001,178.446869,58953100,Yfinnce
8,AAPL,12/09/2023,179.490005,180.130005,174.820007,176.300003,175.402435,90370200,Yfinnce
9,AAPL,13/09/2023,176.509995,177.300003,173.979996,174.210007,173.32309,84267900,Yfinnce
10,AAPL,14/09/2023,174,176.100006,173.580002,175.740005,174.845306,60895800,Yfinnce
11,AAPL,15/09/2023,176.479996,176.5,173.820007,175.009995,174.119003,109205100,Yfinnce
12,AAPL,18/09/2023,176.479996,179.380005,176.169998,177.970001,177.06395,67257600,Yfinnce
13,AAPL,19/09/2023,177.520004,179.630005,177.130005,179.070007,178.15834,51826900,Yfinnce
14,AAPL,20/09/2023,179.259995,179.699997,175.399994,175.490005,174.596588,58436200,Yfinnce
15,AAPL,21/09/2023,174.550003,176.300003,173.860001,173.929993,173.044495,63047900,Yfinnce
16,AAPL,22/09/2023,174.669998,177.080002,174.050003,174.789993,173.900116,56725400,Yfinnce
17,AAPL,25/09/2023,174.199997,176.970001,174.149994,176.080002,175.183563,46172700,Yfinnce
18,AAPL,26/09/2023,174.820007,175.199997,171.660004,171.960007,171.084534,64588900,Yfinnce
19,AAPL,27/09/2023,172.619995,173.039993,169.050003,170.429993,169.562317,66921800,Yfinnce
20,AAPL,28/09/2023,169.339996,172.029999,167.619995,170.690002,169.821014,56294400,Yfinnce
21,AAPL,29/09/2023,172.020004,173.070007,170.339996,171.210007,170.338379,51814200,Yfinnce
22,AAPL,02/10/2023,171.220001,174.300003,170.929993,173.75,172.865417,52164500,Yfinnce
23,AAPL,03/10/2023,172.259995,173.630005,170.820007,172.399994,171.522308,49594600,Yfinnce
24,AAPL,04/10/2023,171.089996,174.210007,170.970001,173.660004,172.775894,53020300,Yfinnce
25,AAPL,05/10/2023,173.789993,175.449997,172.679993,174.910004,174.019516,48527900,Yfinnce
26,AAPL,06/10/2023,173.800003,177.990005,173.179993,177.490005,176.586395,57224100,Yfinnce
27,AAPL,09/10/2023,176.809998,179.050003,175.800003,178.990005,178.078751,42390800,Yfinnce
28,AAPL,10/10/2023,178.100006,179.720001,177.949997,178.389999,177.481796,43698000,Yfinnce
29,AAPL,11/10/2023,178.199997,179.850006,177.600006,179.800003,178.884628,47551100,Yfinnce
30,AAPL,12/10/2023,180.070007,182.339996,179.039993,180.710007,179.790009,56743100,Yfinnce
31,AAPL,13/10/2023,181.419998,181.929993,178.139999,178.850006,177.939484,51427100,Yfinnce
32,AAPL,16/10/2023,176.75,179.080002,176.509995,178.720001,177.810135,52517000,Yfinnce
33,AAPL,17/10/2023,176.649994,178.419998,174.800003,177.149994,176.248108,57549400,Yfinnce
34,AAPL,18/10/2023,175.580002,177.580002,175.110001,175.839996,174.944794,54764400,Yfinnce
35,AAPL,19/10/2023,176.039993,177.839996,175.190002,175.460007,174.566727,59302900,Yfinnce
36,AAPL,20/10/2023,175.309998,175.419998,172.639999,172.880005,171.999878,64189300,Yfinnce
37,AAPL,23/10/2023,170.910004,174.009995,169.929993,173,172.119263,55980100,Yfinnce
38,AAPL,24/10/2023,173.050003,173.669998,171.449997,173.440002,172.557007,43816600,Yfinnce
39,AAPL,25/10/2023,171.880005,173.059998,170.649994,171.100006,170.228928,57157000,Yfinnce
40,AAPL,26/10/2023,170.369995,171.380005,165.669998,166.889999,166.040344,70625300,Yfinnce
41,AAPL,27/10/2023,166.910004,168.960007,166.830002,168.220001,167.363571,58499100,Yfinnce
42,AAPL,30/10/2023,169.020004,171.169998,168.869995,170.289993,169.423035,51131000,Yfinnce
43,AAPL,31/10/2023,169.350006,170.899994,167.899994,170.770004,169.90062,44846000,Yfinnce
44,AAPL,01/11/2023,171,174.229996,170.119995,173.970001,173.08432,56934900,Yfinnce
45,AAPL,02/11/2023,175.520004,177.779999,175.460007,177.570007,176.666,77334800,Yfinnce
46,AAPL,03/11/2023,174.240005,176.820007,173.350006,176.649994,175.750656,79763700,Yfinnce
47,AAPL,06/11/2023,176.380005,179.429993,176.210007,179.229996,178.31752,63841300,Yfinnce
48,AAPL,07/11/2023,179.179993,182.440002,178.970001,181.820007,180.894348,70530000,Yfinnce
49,AAPL,08/11/2023,182.350006,183.449997,181.589996,182.889999,181.958893,49340300,Yfinnce
50,AAPL,09/11/2023,182.960007,184.119995,181.809998,182.410004,181.481354,53763500,Yfinnce
51,AAPL,10/11/2023,183.970001,186.570007,183.529999,186.399994,185.695343,66133400,Yfinnce
52,AAPL,13/11/2023,185.820007,186.029999,184.210007,184.800003,184.101395,43627500,Yfinnce
53,AAPL,14/11/2023,187.699997,188.110001,186.300003,187.440002,186.731415,60108400,Yfinnce
54,AAPL,15/11/2023,187.850006,189.5,187.779999,188.009995,187.299255,53790500,Yfinnce
55,AAPL,16/11/2023,189.570007,190.960007,188.649994,189.710007,188.992859,54412900,Yfinnce
56,AAPL,17/11/2023,190.25,190.380005,188.570007,189.690002,188.972916,50922700,Yfinnce
57,AAPL,20/11/2023,189.889999,191.910004,189.880005,191.449997,190.726257,46505100,Yfinnce
58,AAPL,21/11/2023,191.410004,191.520004,189.740005,190.639999,189.919312,38134500,Yfinnce
59,AAPL,22/11/2023,191.490005,192.929993,190.830002,191.309998,190.586807,39617700,Yfinnce
60,AAPL,24/11/2023,190.869995,190.899994,189.25,189.970001,189.251846,24048300,Yfinnce
61,AAPL,27/11/2023,189.919998,190.669998,188.899994,189.789993,189.07251,40552600,Yfinnce
62,AAPL,28/11/2023,189.779999,191.080002,189.399994,190.399994,189.680206,38415400,Yfinnce
63,AAPL,29/11/2023,190.899994,192.089996,188.970001,189.369995,188.654114,43014200,Yfinnce
64,AAPL,30/11/2023,189.839996,190.320007,188.190002,189.949997,189.231918,48794400,Yfinnce
65,AAPL,01/12/2023,190.330002,191.559998,189.229996,191.240005,190.517059,45679300,Yfinnce
66,AAPL,04/12/2023,189.979996,190.050003,187.449997,189.429993,188.713882,43389500,Yfinnce
67,AAPL,05/12/2023,190.210007,194.399994,190.179993,193.419998,192.688812,66628400,Yfinnce
68,AAPL,06/12/2023,194.449997,194.759995,192.110001,192.320007,191.592972,41089700,Yfinnce
69,AAPL,07/12/2023,193.630005,195,193.589996,194.270004,193.535614,47477700,Yfinnce
70,AAPL,08/12/2023,194.199997,195.990005,193.669998,195.710007,194.970169,53377300,Yfinnce
71,AAPL,11/12/2023,193.110001,193.490005,191.419998,193.179993,192.449722,60943700,Yfinnce
72,AAPL,12/12/2023,193.080002,194.720001,191.720001,194.710007,193.973953,52696900,Yfinnce
73,AAPL,13/12/2023,195.089996,198,194.850006,197.960007,197.211655,70404200,Yfinnce
74,AAPL,14/12/2023,198.020004,199.619995,196.160004,198.110001,197.361084,66831600,Yfinnce
75,AAPL,15/12/2023,197.529999,198.399994,197,197.570007,196.823135,128256700,Yfinnce
76,AAPL,18/12/2023,196.089996,196.630005,194.389999,195.889999,195.14949,55751900,Yfinnce
77,AAPL,19/12/2023,196.160004,196.949997,195.889999,196.940002,196.195511,40714100,Yfinnce
78,AAPL,20/12/2023,196.899994,197.679993,194.830002,194.830002,194.093491,52242800,Yfinnce
79,AAPL,21/12/2023,196.100006,197.080002,193.5,194.679993,193.944031,46482500,Yfinnce
80,AAPL,22/12/2023,195.179993,195.410004,192.970001,193.600006,192.868149,37122800,Yfinnce
81,AAPL,26/12/2023,193.610001,193.889999,192.830002,193.050003,192.320206,28919300,Yfinnce
82,AAPL,27/12/2023,192.490005,193.5,191.089996,193.149994,192.41983,48087700,Yfinnce
83,AAPL,28/12/2023,194.139999,194.660004,193.169998,193.580002,192.848206,34049900,Yfinnce
84,AAPL,29/12/2023,193.899994,194.399994,191.729996,192.529999,191.80217,42628800,Yfinnce
85,AAPL,02/01/2024,187.149994,188.440002,183.889999,185.639999,184.938217,82488700,Yfinnce
86,AAPL,03/01/2024,184.220001,185.880005,183.429993,184.25,183.553467,58414500,Yfinnce
87,AAPL,04/01/2024,182.149994,183.089996,180.880005,181.910004,181.222336,71983600,Yfinnce
88,AAPL,05/01/2024,181.990005,182.759995,180.169998,181.179993,180.495071,62303300,Yfinnce
89,AAPL,08/01/2024,182.089996,185.600006,181.5,185.559998,184.858521,59144500,Yfinnce
90,AAPL,09/01/2024,183.919998,185.149994,182.729996,185.139999,184.440109,42841800,Yfinnce
91,AAPL,10/01/2024,184.350006,186.399994,183.919998,186.190002,185.48616,46792900,Yfinnce
92,AAPL,11/01/2024,186.539993,187.050003,183.619995,185.589996,184.888412,49128400,Yfinnce
93,AAPL,12/01/2024,186.059998,186.740005,185.190002,185.919998,185.217163,40444700,Yfinnce
94,AAPL,16/01/2024,182.160004,184.259995,180.929993,183.630005,182.935822,65603000,Yfinnce
95,AAPL,17/01/2024,181.270004,182.929993,180.300003,182.679993,181.98941,47317400,Yfinnce
96,AAPL,18/01/2024,186.089996,189.139999,185.830002,188.630005,187.916916,78005800,Yfinnce
97,AAPL,19/01/2024,189.330002,191.949997,188.820007,191.559998,190.835846,68741000,Yfinnce
98,AAPL,22/01/2024,192.300003,195.330002,192.259995,193.889999,193.157028,60133900,Yfinnce
99,AAPL,23/01/2024,195.020004,195.75,193.830002,195.179993,194.442154,42355600,Yfinnce
100,AAPL,24/01/2024,195.419998,196.380005,194.339996,194.5,193.764725,53631300,Yfinnce
101,AAPL,25/01/2024,195.220001,196.270004,193.110001,194.169998,193.435974,54822100,Yfinnce
102,AAPL,26/01/2024,194.270004,194.759995,191.940002,192.419998,191.692596,44594000,Yfinnce
103,AAPL,29/01/2024,192.009995,192.199997,189.580002,191.729996,191.005188,47145600,Yfinnce
104,AAPL,30/01/2024,190.940002,191.800003,187.470001,188.039993,187.329147,55859400,Yfinnce
105,AAPL,31/01/2024,187.039993,187.100006,184.350006,184.399994,183.702911,55467800,Yfinnce
106,AAPL,01/02/2024,183.990005,186.949997,183.820007,186.860001,186.153625,64885400,Yfinnce
107,AAPL,02/02/2024,179.860001,187.330002,179.25,185.850006,185.14743,102518000,Yfinnce
108,AAPL,05/02/2024,188.149994,189.25,185.839996,187.679993,186.970505,69668800,Yfinnce
109,AAPL,06/02/2024,186.860001,189.309998,186.770004,189.300003,188.584396,43490800,Yfinnce
110,AAPL,07/02/2024,190.639999,191.050003,188.610001,189.410004,188.69397,53439000,Yfinnce
111,AAPL,08/02/2024,189.389999,189.539993,187.350006,188.320007,187.608109,40962000,Yfinnce
112,AAPL,09/02/2024,188.649994,189.990005,188,188.850006,188.37616,45155200,Yfinnce
113,AAPL,12/02/2024,188.419998,188.669998,186.789993,187.149994,186.68042,41781900,Yfinnce
114,AAPL,13/02/2024,185.770004,186.210007,183.509995,185.039993,184.575714,56529500,Yfinnce
115,AAPL,14/02/2024,185.320007,185.529999,182.440002,184.149994,183.687943,54630500,Yfinnce
116,AAPL,15/02/2024,183.550003,184.490005,181.350006,183.860001,183.398682,65434500,Yfinnce
117,AAPL,16/02/2024,183.419998,184.850006,181.669998,182.309998,181.852554,49701400,Yfinnce
118,AAPL,20/02/2024,181.789993,182.429993,180,181.559998,181.104446,53665600,Yfinnce
119,AAPL,21/02/2024,181.940002,182.889999,180.660004,182.320007,181.862549,41529700,Yfinnce
120,AAPL,22/02/2024,183.479996,184.960007,182.460007,184.369995,183.907394,52292200,Yfinnce
121,AAPL,23/02/2024,185.009995,185.039993,182.229996,182.520004,182.062042,45119700,Yfinnce
122,AAPL,26/02/2024,182.240005,182.759995,180.649994,181.160004,180.70546,40867400,Yfinnce
123,AAPL,27/02/2024,181.100006,183.919998,179.559998,182.630005,182.171768,54318900,Yfinnce
124,AAPL,28/02/2024,182.509995,183.119995,180.130005,181.419998,180.964798,48953900,Yfinnce
125,AAPL,29/02/2024,181.270004,182.570007,179.529999,180.75,180.296478,136682600,Yfinnce
126,AAPL,01/03/2024,179.550003,180.529999,177.380005,179.660004,179.209229,73488000,Yfinnce
127,AAPL,04/03/2024,176.149994,176.899994,173.789993,175.100006,174.66066,81510100,Yfinnce
128,AAPL,05/03/2024,170.759995,172.039993,169.619995,170.119995,169.693161,95132400,Yfinnce
129,AAPL,06/03/2024,171.059998,171.240005,168.679993,169.119995,168.695648,68587700,Yfinnce
130,AAPL,07/03/2024,169.149994,170.729996,168.490005,169,168.575958,71765100,Yfinnce
131,AAPL,08/03/2024,169,173.699997,168.940002,170.729996,170.301605,76114600,Yfinnce
132,AAPL,11/03/2024,172.940002,174.380005,172.050003,172.75,172.316559,60139500,Yfinnce
133,AAPL,12/03/2024,173.149994,174.029999,171.009995,173.229996,172.795334,59825400,Yfinnce
134,AAPL,13/03/2024,172.770004,173.190002,170.759995,171.130005,170.700623,52488700,Yfinnce
135,AAPL,14/03/2024,172.910004,174.309998,172.050003,173,172.565933,72913500,Yfinnce
136,AAPL,15/03/2024,171.169998,172.619995,170.289993,172.619995,172.186874,121664700,Yfinnce
137,AAPL,18/03/2024,175.570007,177.710007,173.520004,173.720001,173.284119,75604200,Yfinnce
138,AAPL,19/03/2024,174.339996,176.610001,173.029999,176.080002,175.638199,55215200,Yfinnce
139,AAPL,20/03/2024,175.720001,178.669998,175.089996,178.669998,178.22171,53423100,Yfinnce
140,AAPL,21/03/2024,177.050003,177.490005,170.839996,171.369995,170.940018,106181300,Yfinnce
141,AAPL,22/03/2024,171.759995,173.050003,170.059998,172.279999,171.847733,71106600,Yfinnce
142,AAPL,25/03/2024,170.570007,171.940002,169.449997,170.850006,170.421326,54288300,Yfinnce
143,AAPL,26/03/2024,170,171.419998,169.580002,169.710007,169.284195,57388400,Yfinnce
144,AAPL,27/03/2024,170.410004,173.600006,170.110001,173.309998,172.875137,60273300,Yfinnce
145,AAPL,28/03/2024,171.75,172.229996,170.509995,171.479996,171.049744,65672700,Yfinnce
146,AAPL,01/04/2024,171.190002,171.25,169.479996,170.029999,169.603378,46240500,Yfinnce
147,AAPL,02/04/2024,169.080002,169.339996,168.229996,168.839996,168.416351,49329500,Yfinnce
148,AAPL,03/04/2024,168.789993,170.679993,168.580002,169.649994,169.224319,47691700,Yfinnce
149,AAPL,04/04/2024,170.289993,171.919998,168.820007,168.820007,168.396423,53704400,Yfinnce
150,AAPL,05/04/2024,169.589996,170.389999,168.949997,169.580002,169.154495,42055200,Yfinnce
151,AAPL,08/04/2024,169.029999,169.199997,168.240005,168.449997,168.027344,37425500,Yfinnce
152,AAPL,09/04/2024,168.699997,170.080002,168.350006,169.669998,169.244278,42451200,Yfinnce
153,AAPL,10/04/2024,168.800003,169.089996,167.110001,167.779999,167.359024,49709300,Yfinnce
154,AAPL,11/04/2024,168.339996,175.460007,168.160004,175.039993,174.6008,91070300,Yfinnce
155,AAPL,12/04/2024,174.259995,178.360001,174.210007,176.550003,176.107025,101593300,Yfinnce
156,AAPL,15/04/2024,175.360001,176.630005,172.5,172.690002,172.256699,73531800,Yfinnce
157,AAPL,16/04/2024,171.75,173.759995,168.270004,169.380005,168.955017,73711200,Yfinnce
158,AAPL,17/04/2024,169.610001,170.649994,168,168,167.578476,50901200,Yfinnce
159,AAPL,18/04/2024,168.029999,168.639999,166.550003,167.039993,166.62088,43122900,Yfinnce
160,AAPL,19/04/2024,166.210007,166.399994,164.080002,165,164.585999,67772100,Yfinnce
161,AAPL,22/04/2024,165.520004,167.259995,164.770004,165.839996,165.423874,48116400,Yfinnce
162,AAPL,23/04/2024,165.350006,167.050003,164.919998,166.899994,166.481216,49537800,Yfinnce
163,AAPL,24/04/2024,166.539993,169.300003,166.210007,169.020004,168.595917,48251800,Yfinnce
164,AAPL,25/04/2024,169.529999,170.610001,168.149994,169.889999,169.46373,50558300,Yfinnce
165,AAPL,26/04/2024,169.880005,171.339996,169.179993,169.300003,168.875214,44838400,Yfinnce
166,AAPL,29/04/2024,173.369995,176.029999,173.100006,173.5,173.064667,68169400,Yfinnce
167,AAPL,30/04/2024,173.330002,174.990005,170,170.330002,169.902634,65934800,Yfinnce
168,AAPL,01/05/2024,169.580002,172.710007,169.110001,169.300003,168.875214,50383100,Yfinnce
169,AAPL,02/05/2024,172.509995,173.419998,170.889999,173.029999,172.59584,94214900,Yfinnce
170,AAPL,03/05/2024,186.649994,187,182.660004,183.380005,182.919876,163224100,Yfinnce
171,AAPL,06/05/2024,182.350006,184.199997,180.419998,181.710007,181.254089,78569700,Yfinnce
172,AAPL,07/05/2024,183.449997,184.899994,181.320007,182.399994,181.942322,77305800,Yfinnce
173,AAPL,08/05/2024,182.850006,183.070007,181.449997,182.740005,182.281494,45057100,Yfinnce
174,AAPL,09/05/2024,182.559998,184.660004,182.110001,184.570007,184.106903,48983000,Yfinnce
175,AAPL,10/05/2024,184.899994,185.089996,182.130005,183.050003,182.838364,50759500,Yfinnce
176,AAPL,13/05/2024,185.440002,187.100006,184.619995,186.279999,186.064636,72044800,Yfinnce
177,AAPL,14/05/2024,187.509995,188.300003,186.289993,187.429993,187.213303,52393600,Yfinnce
178,AAPL,15/05/2024,187.910004,190.649994,187.369995,189.720001,189.500656,70400000,Yfinnce
179,AAPL,16/05/2024,190.470001,191.100006,189.660004,189.839996,189.620514,52845200,Yfinnce
180,AAPL,17/05/2024,189.509995,190.809998,189.179993,189.869995,189.650482,41282900,Yfinnce
181,AAPL,20/05/2024,189.330002,191.919998,189.009995,191.039993,190.819122,44361300,Yfinnce
182,AAPL,21/05/2024,191.089996,192.729996,190.919998,192.350006,192.127625,42309400,Yfinnce
183,AAPL,22/05/2024,192.270004,192.820007,190.270004,190.899994,190.679291,34648500,Yfinnce
184,AAPL,23/05/2024,190.979996,191,186.630005,186.880005,186.66394,51005900,Yfinnce
185,AAPL,24/05/2024,188.820007,190.580002,188.039993,189.979996,189.760345,36294600,Yfinnce
186,AAPL,28/05/2024,191.509995,193,189.100006,189.990005,189.770355,52280100,Yfinnce
187,AAPL,29/05/2024,189.610001,192.25,189.509995,190.289993,190.069992,53068000,Yfinnce
188,AAPL,30/05/2024,190.759995,192.179993,190.630005,191.289993,191.068832,49947900,Yfinnce
189,AAPL,31/05/2024,191.440002,192.570007,189.910004,192.25,192.027725,75158300,Yfinnce
190,AAPL,03/06/2024,192.899994,194.990005,192.520004,194.029999,193.805664,50080500,Yfinnce
191,AAPL,04/06/2024,194.639999,195.320007,193.029999,194.350006,194.125305,47471400,Yfinnce
192,AAPL,05/06/2024,195.399994,196.899994,194.869995,195.869995,195.643539,54156800,Yfinnce
193,AAPL,06/06/2024,195.690002,196.5,194.169998,194.479996,194.255142,41181800,Yfinnce
194,AAPL,07/06/2024,194.649994,196.940002,194.139999,196.889999,196.662369,53103900,Yfinnce
195,AAPL,10/06/2024,196.899994,197.300003,192.149994,193.119995,192.896713,97262100,Yfinnce
196,AAPL,11/06/2024,193.649994,207.160004,193.630005,207.149994,206.910492,172373300,Yfinnce
197,AAPL,12/06/2024,207.369995,220.199997,206.899994,213.070007,212.823669,198134300,Yfinnce
198,AAPL,13/06/2024,214.740005,216.75,211.600006,214.240005,213.99231,97862700,Yfinnce
199,AAPL,14/06/2024,213.850006,215.169998,211.300003,212.490005,212.244339,70122700,Yfinnce
200,AAPL,17/06/2024,213.369995,218.949997,212.720001,216.669998,216.419495,93728300,Yfinnce
201,AAPL,18/06/2024,217.589996,218.630005,213,214.289993,214.042236,79943300,Yfinnce
202,AAPL,20/06/2024,213.929993,214.240005,208.850006,209.679993,209.437576,86172500,Yfinnce
203,AAPL,21/06/2024,210.389999,211.889999,207.110001,207.490005,207.250122,246421400,Yfinnce
204,AAPL,24/06/2024,207.720001,212.699997,206.589996,208.139999,207.899353,80727000,Yfinnce
205,AAPL,25/06/2024,209.149994,211.380005,208.610001,209.070007,208.828293,56713900,Yfinnce
206,AAPL,26/06/2024,211.5,214.860001,210.639999,213.25,213.003448,66213200,Yfinnce
207,AAPL,27/06/2024,214.690002,215.740005,212.350006,214.100006,213.852478,49772700,Yfinnce
208,AAPL,28/06/2024,215.770004,216.070007,210.300003,210.619995,210.37648,82542700,Yfinnce
209,AAPL,01/07/2024,212.089996,217.509995,211.919998,216.75,216.499405,60402900,Yfinnce
210,AAPL,02/07/2024,216.149994,220.380005,215.100006,220.270004,220.015335,58046200,Yfinnce
