ID,STICKER,Date,Open,High,Low,Close,Adj Close,Volume,SOURCE
1,AMZN,31/08/2023,135.059998,138.789993,135,138.009995,138.009995,58781300,Yfinnce
2,AMZN,01/09/2023,139.460007,139.960007,136.880005,138.119995,138.119995,40948300,Yfinnce
3,AMZN,05/09/2023,137.729996,137.800003,135.820007,137.270004,137.270004,40636700,Yfinnce
4,AMZN,06/09/2023,136.320007,137.449997,134.610001,135.360001,135.360001,41785500,Yfinnce
5,AMZN,07/09/2023,133.899994,138.029999,133.160004,137.850006,137.850006,48498900,Yfinnce
6,AMZN,08/09/2023,136.860001,138.850006,136.75,138.229996,138.229996,38348200,Yfinnce
7,AMZN,11/09/2023,138.75,143.619995,138.639999,143.100006,143.100006,56764500,Yfinnce
8,AMZN,12/09/2023,142.320007,143,140.610001,141.229996,141.229996,42668500,Yfinnce
9,AMZN,13/09/2023,140.949997,144.979996,140.869995,144.850006,144.850006,60465200,Yfinnce
10,AMZN,14/09/2023,145.080002,145.860001,142.949997,144.720001,144.720001,64033600,Yfinnce
11,AMZN,15/09/2023,142.690002,143.570007,140.089996,140.389999,140.389999,102861700,Yfinnce
12,AMZN,18/09/2023,140.479996,141.75,139.220001,139.979996,139.979996,42823500,Yfinnce
13,AMZN,19/09/2023,138.699997,138.839996,135.559998,137.630005,137.630005,61482500,Yfinnce
14,AMZN,20/09/2023,138.550003,139.369995,135.199997,135.289993,135.289993,46263700,Yfinnce
15,AMZN,21/09/2023,131.940002,132.240005,129.309998,129.330002,129.330002,70234800,Yfinnce
16,AMZN,22/09/2023,131.110001,132.029999,128.520004,129.119995,129.119995,59904300,Yfinnce
17,AMZN,25/09/2023,129.360001,131.779999,128.770004,131.270004,131.270004,46017800,Yfinnce
18,AMZN,26/09/2023,130.119995,130.389999,125.279999,125.980003,125.980003,73048200,Yfinnce
19,AMZN,27/09/2023,125.760002,127.480003,124.129997,125.980003,125.980003,66553400,Yfinnce
20,AMZN,28/09/2023,124.040001,126.580002,123.040001,125.980003,125.980003,54555000,Yfinnce
21,AMZN,29/09/2023,128.199997,129.149994,126.32,127.120003,127.120003,62377600,Yfinnce
22,AMZN,02/10/2023,127.279999,130.470001,126.540001,129.460007,129.460007,48029700,Yfinnce
23,AMZN,03/10/2023,128.059998,128.520004,124.25,124.720001,124.720001,51565000,Yfinnce
24,AMZN,04/10/2023,126.059998,127.360001,125.68,127,127,44203900,Yfinnce
25,AMZN,05/10/2023,126.709999,126.730003,124.330002,125.959999,125.959999,39660600,Yfinnce
26,AMZN,06/10/2023,124.160004,128.449997,124.129997,127.959999,127.959999,46795900,Yfinnce
27,AMZN,09/10/2023,126.220001,128.789993,124.760002,128.259995,128.259995,38773700,Yfinnce
28,AMZN,10/10/2023,128.820007,130.740005,128.050003,129.479996,129.479996,42178600,Yfinnce
29,AMZN,11/10/2023,129.740005,132.050003,129.610001,131.830002,131.830002,40741800,Yfinnce
30,AMZN,12/10/2023,132.169998,134.479996,131.229996,132.330002,132.330002,55528600,Yfinnce
31,AMZN,13/10/2023,132.979996,133.309998,128.949997,129.789993,129.789993,45786600,Yfinnce
32,AMZN,16/10/2023,130.690002,133.070007,130.429993,132.550003,132.550003,42832900,Yfinnce
33,AMZN,17/10/2023,130.389999,132.580002,128.710007,131.470001,131.470001,49344600,Yfinnce
34,AMZN,18/10/2023,129.899994,130.669998,127.510002,128.130005,128.130005,42699500,Yfinnce
