ID,STICKER,Date,Open,High,Low,Close,Adj Close,Volume,SOURCE
1,INTC,31/08/2023,34.32,35.560001,34.299999,35.139999,34.561951,48157600,Yfinnce
2,INTC,01/09/2023,35.790001,36.75,35.73,36.610001,36.007771,43782600,Yfinnce
3,INTC,05/09/2023,36.580002,37.41,36.459999,36.709999,36.106121,43379400,Yfinnce
4,INTC,06/09/2023,36.560001,37.040001,36.029999,36.98,36.371677,39643400,Yfinnce
5,INTC,07/09/2023,36.830002,38.34,36.75,38.18,37.551941,67659700,Yfinnce
6,INTC,08/09/2023,38.119999,38.830002,37.709999,38.009998,37.384735,44255200,Yfinnce
7,INTC,11/09/2023,38.240002,38.740002,37.84,38.59,37.955196,36349300,Yfinnce
8,INTC,12/09/2023,38.650002,40.07,38.650002,38.860001,38.22076,55326600,Yfinnce
9,INTC,13/09/2023,38.799999,39.150002,38.25,38.709999,38.073223,35407800,Yfinnce
10,INTC,14/09/2023,38.810001,38.900002,38.299999,38.669998,38.033878,30616500,Yfinnce
11,INTC,15/09/2023,38.419998,38.52,37.619999,37.880001,37.256874,68868800,Yfinnce
12,INTC,18/09/2023,37.619999,38.389999,37.509998,37.990002,37.365067,29322200,Yfinnce
13,INTC,19/09/2023,38.040001,38.099998,36.02,36.34,35.74221,53288100,Yfinnce
14,INTC,20/09/2023,36.220001,36.25,34.630001,34.689999,34.11935,57660800,Yfinnce
15,INTC,21/09/2023,34.57,35.25,34.459999,34.650002,34.080009,45215900,Yfinnce
16,INTC,22/09/2023,34.810001,34.889999,34.139999,34.18,33.617741,29232700,Yfinnce
17,INTC,25/09/2023,34,34.369999,33.77,34.290001,33.725929,21729400,Yfinnce
18,INTC,26/09/2023,34.139999,34.779999,33.639999,33.830002,33.273502,34198300,Yfinnce
19,INTC,27/09/2023,33.919998,34.830002,33.880001,34.610001,34.040672,44369100,Yfinnce
20,INTC,28/09/2023,34.650002,35.66,34.380001,35.18,34.601292,32265300,Yfinnce
21,INTC,29/09/2023,35.650002,35.91,35.16,35.549999,34.965202,28758500,Yfinnce
22,INTC,02/10/2023,35.610001,35.98,34.98,35.459999,34.876682,26086200,Yfinnce
23,INTC,03/10/2023,35.27,36.540001,35.27,35.689999,35.102898,45292600,Yfinnce
24,INTC,04/10/2023,36.52,36.52,35.330002,35.93,35.338951,39842200,Yfinnce
25,INTC,05/10/2023,35.970001,36.099998,35.599998,35.889999,35.299606,25771200,Yfinnce
26,INTC,06/10/2023,35.869999,36.459999,35.18,36.189999,35.594677,33252300,Yfinnce
27,INTC,09/10/2023,35.700001,36.169998,35.5,36.060001,35.46682,19376100,Yfinnce
28,INTC,10/10/2023,36.139999,36.740002,35.810001,36.43,35.830727,24044100,Yfinnce
29,INTC,11/10/2023,36.619999,37.029999,36.380001,36.880001,36.273327,19262600,Yfinnce
30,INTC,12/10/2023,36.799999,37.220001,36.389999,36.84,36.233982,23639200,Yfinnce
31,INTC,13/10/2023,36.740002,36.790001,35.860001,35.970001,35.378296,28390100,Yfinnce
32,INTC,16/10/2023,36.139999,36.939999,36.080002,36.560001,35.958591,29555800,Yfinnce
33,INTC,17/10/2023,35.919998,36.349998,35.07,36.060001,35.46682,24993600,Yfinnce
34,INTC,18/10/2023,35.52,36.02,35.450001,35.639999,35.053726,22086000,Yfinnce
35,INTC,19/10/2023,35.959999,36.360001,35.52,35.669998,35.083229,29201800,Yfinnce
36,INTC,20/10/2023,35.650002,36.279999,34.869999,34.919998,34.345562,32291800,Yfinnce
37,INTC,23/10/2023,34.599998,35.189999,33.389999,33.849998,33.293167,53924700,Yfinnce
38,INTC,24/10/2023,33.639999,34.709999,33.639999,34.59,34.021,52673900,Yfinnce
39,INTC,25/10/2023,34.18,34.450001,32.549999,32.830002,32.289951,44658500,Yfinnce
40,INTC,26/10/2023,32.889999,33.220001,32.150002,32.52,31.985046,59142500,Yfinnce
41,INTC,27/10/2023,34.66,36.380001,34.599998,35.540001,34.955372,84128200,Yfinnce
42,INTC,30/10/2023,35.470001,35.959999,34.919998,35.689999,35.102898,36656300,Yfinnce
43,INTC,31/10/2023,35.66,36.57,35.619999,36.5,35.899574,41185200,Yfinnce
44,INTC,01/11/2023,36.5,37.32,36.279999,37.290001,36.676582,41710700,Yfinnce
45,INTC,02/11/2023,37.580002,37.82,36.91,37.700001,37.079838,35440000,Yfinnce
46,INTC,03/11/2023,38,38.32,37.669998,38.139999,37.512596,30493400,Yfinnce
47,INTC,06/11/2023,38.02,38.200001,37.849998,37.950001,37.448456,23877200,Yfinnce
48,INTC,07/11/2023,38.240002,38.900002,37.98,38.77,38.257618,32052000,Yfinnce
49,INTC,08/11/2023,38.849998,38.889999,37.75,37.919998,37.418854,33483400,Yfinnce
50,INTC,09/11/2023,38.049999,38.52,37.77,37.799999,37.300442,48955800,Yfinnce
51,INTC,10/11/2023,38.240002,38.990002,38.240002,38.860001,38.346436,38862500,Yfinnce
52,INTC,13/11/2023,38.349998,38.57,38.139999,38.23,37.724758,24558300,Yfinnce
53,INTC,14/11/2023,38.799999,39.490002,38.07,39.41,38.889164,45457400,Yfinnce
54,INTC,15/11/2023,39.59,40.84,39.580002,40.610001,40.073303,47392100,Yfinnce
55,INTC,16/11/2023,41,43.400002,40.82,43.349998,42.777092,86405700,Yfinnce
56,INTC,17/11/2023,42.91,43.810001,42.560001,43.810001,43.231014,49735000,Yfinnce
57,INTC,20/11/2023,43.779999,44.93,43.779999,44.740002,44.148724,44564900,Yfinnce
58,INTC,21/11/2023,44.5,44.66,43.299999,43.639999,43.063263,37252100,Yfinnce
59,INTC,22/11/2023,44.029999,44.630001,43.540001,43.669998,43.092861,31481200,Yfinnce
60,INTC,24/11/2023,43.68,44,43.610001,43.959999,43.379028,13037100,Yfinnce
61,INTC,27/11/2023,43.650002,44.549999,43.650002,44.080002,43.497448,33339900,Yfinnce
62,INTC,28/11/2023,43.689999,44.380001,43.66,44.23,43.645462,24548900,Yfinnce
63,INTC,29/11/2023,44.599998,45.34,44.599998,44.939999,44.346081,38982000,Yfinnce
64,INTC,30/11/2023,44.650002,45.09,44.41,44.700001,44.109253,46263000,Yfinnce
65,INTC,01/12/2023,44.360001,44.360001,42.860001,43.740002,43.161942,43922500,Yfinnce
66,INTC,04/12/2023,43.299999,43.310001,41.689999,42.349998,41.79031,50417600,Yfinnce
67,INTC,05/12/2023,41.91,42.290001,41.610001,41.919998,41.36599,31859300,Yfinnce
68,INTC,06/12/2023,42.48,42.59,41.169998,41.27,40.724583,31992300,Yfinnce
