ID,STICKER,Date,Open,High,Low,Close,Adj Close,Volume,SOURCE
1,MARA,31/08/2023,13.56,13.92,12.45,12.57,12.57,33448800,Yfinnce
2,MARA,01/09/2023,12.53,12.74,11.74,12,12,25233700,Yfinnce
3,MARA,05/09/2023,11.85,12.2,11.64,12,12,14834100,Yfinnce
4,MARA,06/09/2023,11.87,12.59,11.83,12.06,12.06,23218900,Yfinnce
5,MARA,07/09/2023,11.9,12.45,11.32,12.36,12.36,20436200,Yfinnce
6,MARA,08/09/2023,11.85,11.9,10.43,10.91,10.91,43533200,Yfinnce
7,MARA,11/09/2023,10.55,10.64,9.96,10.07,10.07,30366000,Yfinnce
8,MARA,12/09/2023,10.51,10.9,10.06,10.16,10.16,36784700,Yfinnce
9,MARA,13/09/2023,10.1,10.18,9.7,9.89,9.89,29524400,Yfinnce
10,MARA,14/09/2023,10.15,10.46,9.9,10,10,35131000,Yfinnce
11,MARA,15/09/2023,9.95,9.95,9.53,9.8,9.8,26000200,Yfinnce
12,MARA,18/09/2023,10.32,10.35,9.47,9.79,9.79,37718900,Yfinnce
13,MARA,19/09/2023,9.71,9.98,9.31,9.56,9.56,23670200,Yfinnce
14,MARA,20/09/2023,9.57,9.84,9.28,9.29,9.29,17914000,Yfinnce
15,MARA,21/09/2023,8.85,9.3,8.77,9.16,9.16,16586500,Yfinnce
16,MARA,22/09/2023,9.17,9.28,8.65,8.67,8.67,17195700,Yfinnce
17,MARA,25/09/2023,8.48,8.89,8.42,8.56,8.56,19232000,Yfinnce
18,MARA,26/09/2023,8.46,8.68,8.22,8.25,8.25,16815800,Yfinnce
19,MARA,27/09/2023,8.39,8.55,7.91,8.01,8.01,22627000,Yfinnce
20,MARA,28/09/2023,8.06,8.89,7.93,8.57,8.57,24186700,Yfinnce
21,MARA,29/09/2023,8.71,8.88,8.39,8.5,8.5,20176700,Yfinnce
22,MARA,02/10/2023,9.2,9.69,8.51,8.53,8.53,42145500,Yfinnce
23,MARA,03/10/2023,8.3,8.41,7.22,7.3,7.3,33702900,Yfinnce
24,MARA,04/10/2023,7.47,7.58,7.18,7.54,7.54,25114400,Yfinnce
25,MARA,05/10/2023,7.6,7.88,7.33,7.42,7.42,25669000,Yfinnce
26,MARA,06/10/2023,7.2,8.18,7.16,8.08,8.08,30815600,Yfinnce
27,MARA,09/10/2023,7.61,8.38,7.6,8.36,8.36,27156300,Yfinnce
28,MARA,10/10/2023,8.26,8.85,8.23,8.46,8.46,25100600,Yfinnce
29,MARA,11/10/2023,8.18,8.3,7.73,7.9,7.9,28534800,Yfinnce
30,MARA,12/10/2023,7.85,8.13,7.67,7.78,7.78,17753900,Yfinnce
31,MARA,13/10/2023,8.04,8.07,7.55,7.71,7.71,18261800,Yfinnce
32,MARA,16/10/2023,8.54,8.94,7.87,8.1,8.1,52441600,Yfinnce
33,MARA,17/10/2023,7.98,8.74,7.91,8.45,8.45,30035000,Yfinnce
34,MARA,18/10/2023,8.38,8.65,7.65,7.74,7.74,28487000,Yfinnce
35,MARA,19/10/2023,8,8.08,7.63,7.71,7.71,31017200,Yfinnce
36,MARA,20/10/2023,7.95,8.38,7.69,7.76,7.76,36115800,Yfinnce
37,MARA,23/10/2023,8.06,9.02,7.74,8.75,8.75,63932600,Yfinnce
38,MARA,24/10/2023,9.89,10.72,9.35,9.76,9.76,95449800,Yfinnce
39,MARA,25/10/2023,9.7,10.08,9.28,9.47,9.47,53992900,Yfinnce
40,MARA,26/10/2023,9.2,9.52,8.78,8.99,8.99,32254600,Yfinnce
41,MARA,27/10/2023,9.2,9.4,8.82,8.86,8.86,27482800,Yfinnce
42,MARA,30/10/2023,9.2,9.57,8.61,8.85,8.85,31761800,Yfinnce
43,MARA,31/10/2023,8.71,8.98,8.42,8.81,8.81,22365600,Yfinnce
44,MARA,01/11/2023,9,9.05,8.51,8.92,8.92,31215300,Yfinnce
45,MARA,02/11/2023,9.35,9.87,9.09,9.86,9.86,41686700,Yfinnce
46,MARA,03/11/2023,9.62,9.96,9.29,9.41,9.41,43692600,Yfinnce
47,MARA,06/11/2023,9.65,10.06,9.02,9.24,9.24,30637700,Yfinnce
48,MARA,07/11/2023,9.15,9.25,8.66,9.18,9.18,32002200,Yfinnce
49,MARA,08/11/2023,9.03,9.05,8.39,8.55,8.55,32485800,Yfinnce
50,MARA,09/11/2023,9.67,10.48,9.16,9.23,9.23,90786600,Yfinnce
51,MARA,10/11/2023,9.41,9.66,8.88,9.61,9.61,42279700,Yfinnce
52,MARA,13/11/2023,9.42,9.46,8.84,9.18,9.18,31332300,Yfinnce
53,MARA,14/11/2023,9.38,9.6,8.88,9.17,9.17,37575400,Yfinnce
54,MARA,15/11/2023,9.34,10.43,9.16,10.24,10.24,64345300,Yfinnce
55,MARA,16/11/2023,9.82,9.94,9.21,9.76,9.76,39678400,Yfinnce
56,MARA,17/11/2023,9.81,10.11,9.51,10,10,27601800,Yfinnce
57,MARA,20/11/2023,10.2,10.83,10.13,10.64,10.64,55707400,Yfinnce
58,MARA,21/11/2023,10.35,10.56,9.96,10.31,10.31,42923500,Yfinnce
59,MARA,22/11/2023,10.32,10.98,9.88,10.92,10.92,49753100,Yfinnce
60,MARA,24/11/2023,11.04,11.6,10.85,11.41,11.41,42385900,Yfinnce
61,MARA,27/11/2023,10.94,11.65,10.76,11.28,11.28,38413400,Yfinnce
62,MARA,28/11/2023,11.66,12.4,11.55,12.38,12.38,62545100,Yfinnce
63,MARA,29/11/2023,12.42,12.63,12.04,12.4,12.4,42596300,Yfinnce
64,MARA,30/11/2023,12.31,12.43,11.91,11.97,11.97,29942500,Yfinnce
65,MARA,01/12/2023,12.2,13.7,12.18,13.7,13.7,56850000,Yfinnce
66,MARA,04/12/2023,15.33,15.53,14.07,14.86,14.86,81617900,Yfinnce
67,MARA,05/12/2023,14.82,16.07,14.81,15.28,15.28,77635500,Yfinnce
68,MARA,06/12/2023,15.65,16.17,15.3,15.54,15.54,56390700,Yfinnce
69,MARA,07/12/2023,14.9,15.68,14.71,15.51,15.51,41151900,Yfinnce
70,MARA,08/12/2023,15.6,16.790001,15.56,16.780001,16.780001,52891600,Yfinnce
71,MARA,11/12/2023,15.67,15.68,14.23,14.65,14.65,59302900,Yfinnce
72,MARA,12/12/2023,14.75,15.11,14.45,14.89,14.89,35579500,Yfinnce
73,MARA,13/12/2023,14.74,16.860001,14.48,16.76,16.76,63715300,Yfinnce
74,MARA,14/12/2023,16.74,17.99,16.42,17.82,17.82,60551500,Yfinnce
75,MARA,15/12/2023,17.35,18.32,17.049999,18.290001,18.290001,53513600,Yfinnce
76,MARA,18/12/2023,17.690001,20.09,17.66,19.879999,19.879999,60344600,Yfinnce
77,MARA,19/12/2023,20.6,22.49,20.33,21.969999,21.969999,91857600,Yfinnce
78,MARA,20/12/2023,23.620001,24.33,22.040001,22.1,22.1,117235300,Yfinnce
79,MARA,21/12/2023,23.24,25.1,22.42,24.780001,24.780001,104432700,Yfinnce
80,MARA,22/12/2023,25.52,27.73,24.66,26.709999,26.709999,118192600,Yfinnce
81,MARA,26/12/2023,26.15,27.049999,25.219999,26.959999,26.959999,79566200,Yfinnce
82,MARA,27/12/2023,28.15,31.299999,28.15,31.07,31.07,106789700,Yfinnce
83,MARA,28/12/2023,28.99,30.23,27.559999,28.110001,28.110001,119982200,Yfinnce
84,MARA,29/12/2023,28.950001,29.67,23.049999,23.49,23.49,144398300,Yfinnce
85,MARA,02/01/2024,26.639999,26.690001,22.77,22.93,22.93,102571800,Yfinnce
86,MARA,03/01/2024,20.700001,23.75,20.389999,23.440001,23.440001,96670300,Yfinnce
87,MARA,04/01/2024,24.16,26.879999,23,26.27,26.27,97753600,Yfinnce
88,MARA,05/01/2024,25.48,25.6,23.32,24.120001,24.120001,91940500,Yfinnce
89,MARA,08/01/2024,24.77,26.65,22.620001,25.98,25.98,113019100,Yfinnce
90,MARA,09/01/2024,25.48,26.67,24.75,25.73,25.73,84955900,Yfinnce
91,MARA,10/01/2024,24.790001,27.68,23.780001,25.629999,25.629999,140233400,Yfinnce
92,MARA,11/01/2024,27.290001,29.18,20.75,22.4,22.4,213408200,Yfinnce
93,MARA,12/01/2024,21.5,22.07,18.76,18.98,18.98,137407900,Yfinnce
94,MARA,16/01/2024,18.65,19.040001,17.18,17.780001,17.780001,106408800,Yfinnce
95,MARA,17/01/2024,17.5,17.98,16.620001,17.26,17.26,76361100,Yfinnce
96,MARA,18/01/2024,17.219999,18.15,15.96,16.07,16.07,91998300,Yfinnce
97,MARA,19/01/2024,15.98,16.48,14.62,16.129999,16.129999,109887100,Yfinnce
98,MARA,22/01/2024,15.52,17.139999,15.21,16.610001,16.610001,82482700,Yfinnce
99,MARA,23/01/2024,15.79,16.65,15.45,16.110001,16.110001,56602600,Yfinnce
100,MARA,24/01/2024,16.6,17.190001,15.54,15.65,15.65,68891600,Yfinnce
101,MARA,25/01/2024,15.76,16.57,15.57,16.27,16.27,56469200,Yfinnce
102,MARA,26/01/2024,17.23,18.450001,16.889999,17.85,17.85,87559400,Yfinnce
103,MARA,29/01/2024,17.959999,19.73,17.530001,18.52,18.52,92576900,Yfinnce
104,MARA,30/01/2024,18.440001,19.08,17.83,18.110001,18.110001,56458800,Yfinnce
105,MARA,31/01/2024,17.459999,19.18,17.27,17.73,17.73,75527900,Yfinnce
106,MARA,01/02/2024,17.76,18.870001,17.139999,18.6,18.6,64373700,Yfinnce
107,MARA,02/02/2024,17.940001,19.08,17.83,18.200001,18.200001,52876100,Yfinnce
108,MARA,05/02/2024,18.120001,18.26,16.620001,16.639999,16.639999,50371800,Yfinnce
109,MARA,06/02/2024,16.66,17.5,16.4,17.059999,17.059999,39214200,Yfinnce
110,MARA,07/02/2024,16.85,17.6,16.139999,17.540001,17.540001,53166200,Yfinnce
111,MARA,08/02/2024,18.66,21.620001,18.26,21.58,21.58,106855900,Yfinnce
112,MARA,09/02/2024,23.68,24.360001,22.5,23.889999,23.889999,117143200,Yfinnce
113,MARA,12/02/2024,23.6,27.549999,23.6,27.280001,27.280001,102363900,Yfinnce
114,MARA,13/02/2024,24.4,26.4,24.1,25.719999,25.719999,77122100,Yfinnce
115,MARA,14/02/2024,29.030001,29.73,28.110001,29.41,29.41,79211200,Yfinnce
116,MARA,15/02/2024,30,30.450001,26.16,27.02,27.02,97860300,Yfinnce
117,MARA,16/02/2024,28.059999,28.639999,26.25,26.940001,26.940001,58168600,Yfinnce
118,MARA,20/02/2024,26.950001,27.4,22.889999,24.51,24.51,72618000,Yfinnce
119,MARA,21/02/2024,22.91,23.940001,22.76,22.9,22.9,44857500,Yfinnce
120,MARA,22/02/2024,23.26,25.110001,22.67,24.559999,24.559999,53000400,Yfinnce
121,MARA,23/02/2024,23.629999,24.629999,23.049999,23.99,23.99,42059100,Yfinnce
122,MARA,26/02/2024,24.41,29.82,24.41,29.190001,29.190001,106547600,Yfinnce
123,MARA,27/02/2024,31.74,32.869999,28.219999,30.309999,30.309999,116889400,Yfinnce
124,MARA,28/02/2024,32.299999,34.09,29.469999,31.030001,31.030001,179649700,Yfinnce
125,MARA,29/02/2024,29.77,30.709999,25.059999,25.9,25.9,133154400,Yfinnce
126,MARA,01/03/2024,26.530001,27,24.52,27,27,78103500,Yfinnce
127,MARA,04/03/2024,27.870001,29.379999,24.459999,25.709999,25.709999,119395500,Yfinnce
128,MARA,05/03/2024,24.709999,26.66,22.01,22.26,22.26,100790300,Yfinnce
129,MARA,06/03/2024,23.48,23.940001,21.629999,22.620001,22.620001,66880700,Yfinnce
130,MARA,07/03/2024,22,22.940001,21.450001,21.799999,21.799999,58499200,Yfinnce
131,MARA,08/03/2024,22.1,25.280001,22.02,23.48,23.48,94062000,Yfinnce
132,MARA,11/03/2024,24.67,24.889999,20.6,20.639999,20.639999,82992200,Yfinnce
133,MARA,12/03/2024,20.889999,20.950001,19.25,20.190001,20.190001,65064400,Yfinnce
134,MARA,13/03/2024,20.07,21.379999,19.629999,19.700001,19.700001,49994400,Yfinnce
135,MARA,14/03/2024,19.200001,19.200001,17.52,18.23,18.23,61409600,Yfinnce
136,MARA,15/03/2024,17.77,19.84,17.48,19.32,19.32,57929200,Yfinnce
137,MARA,18/03/2024,18.98,20.110001,18.209999,19.41,19.41,51913100,Yfinnce
138,MARA,19/03/2024,18.379999,19.43,17.4,19.32,19.32,47831700,Yfinnce
139,MARA,20/03/2024,19.559999,22.43,19.02,22.43,22.43,74376900,Yfinnce
140,MARA,21/03/2024,22.4,23.08,21.309999,21.780001,21.780001,64872600,Yfinnce
141,MARA,22/03/2024,21.17,21.559999,20.6,20.870001,20.870001,37345200,Yfinnce
142,MARA,25/03/2024,21.23,22.52,20.709999,20.950001,20.950001,64877100,Yfinnce
143,MARA,26/03/2024,20.75,21.49,19.82,20.379999,20.379999,42142100,Yfinnce
144,MARA,27/03/2024,21.049999,22.58,20,22.07,22.07,58349700,Yfinnce
145,MARA,28/03/2024,22.440001,24.65,22.190001,22.58,22.58,86137100,Yfinnce
146,MARA,01/04/2024,22.02,22.5,21.07,21.629999,21.629999,37253800,Yfinnce
147,MARA,02/04/2024,20.42,20.57,19.459999,19.73,19.73,35079600,Yfinnce
148,MARA,03/04/2024,19.65,20.32,19.42,19.43,19.43,31025500,Yfinnce
149,MARA,04/04/2024,20.02,20.459999,18.33,18.469999,18.469999,56690100,Yfinnce
150,MARA,05/04/2024,18.1,19.26,18.07,18.43,18.43,31518200,Yfinnce
151,MARA,08/04/2024,19.43,19.73,17.610001,17.950001,17.950001,44457600,Yfinnce
152,MARA,09/04/2024,17.83,18.549999,17.620001,17.98,17.98,34671800,Yfinnce
153,MARA,10/04/2024,17.299999,18.07,17.110001,17.379999,17.379999,34618400,Yfinnce
154,MARA,11/04/2024,17.280001,17.83,17.049999,17.6,17.6,30602000,Yfinnce
155,MARA,12/04/2024,17.450001,17.469999,15.8,16.110001,16.110001,39034000,Yfinnce
156,MARA,15/04/2024,16.17,16.35,15.11,15.15,15.15,33790100,Yfinnce
157,MARA,16/04/2024,14.82,14.99,14.23,14.6,14.6,35943500,Yfinnce
158,MARA,17/04/2024,14.58,15.13,14.18,14.63,14.63,37799800,Yfinnce
159,MARA,18/04/2024,14.61,15.82,14.46,15.03,15.03,39146100,Yfinnce
160,MARA,19/04/2024,15.16,16.85,15.1,16.5,16.5,49554000,Yfinnce
161,MARA,22/04/2024,17.15,17.58,15.54,17.549999,17.549999,66955500,Yfinnce
162,MARA,23/04/2024,17.309999,19.889999,17.25,19.440001,19.440001,61140900,Yfinnce
163,MARA,24/04/2024,19.110001,20.040001,18.67,19.09,19.09,45467000,Yfinnce
164,MARA,25/04/2024,17.92,19.120001,17.51,19.01,19.01,37047300,Yfinnce
165,MARA,26/04/2024,19.049999,19.809999,18.620001,19.43,19.43,39397300,Yfinnce
166,MARA,29/04/2024,18.43,18.889999,17.700001,18.030001,18.030001,40382700,Yfinnce
167,MARA,30/04/2024,17.18,17.51,16.01,16.059999,16.059999,42087000,Yfinnce
