ID,STICKER,Date,Open,High,Low,Close,Adj Close,Volume,SOURCE
1,NVDA,31/08/2023,49.380001,49.743999,48.958,49.355,49.340225,528570000,Yfinnce
2,NVDA,01/09/2023,49.762001,49.799999,48.141998,48.508999,48.49448,463830000,Yfinnce
3,NVDA,05/09/2023,48.223,48.851002,47.860001,48.548,48.53347,382653000,Yfinnce
4,NVDA,06/09/2023,48.441002,48.549,46.580002,47.061001,47.050793,468670000,Yfinnce
5,NVDA,07/09/2023,45.525002,46.344002,45.152,46.241001,46.230965,433330000,Yfinnce
6,NVDA,08/09/2023,45.942001,46.605999,45.271,45.571999,45.562115,473069000,Yfinnce
7,NVDA,11/09/2023,46.147999,46.162998,44.312,45.178001,45.168198,473966000,Yfinnce
8,NVDA,12/09/2023,44.737999,45.673,44.530998,44.869999,44.860264,349256000,Yfinnce
9,NVDA,13/09/2023,44.599998,45.93,44.502998,45.485001,45.475136,398355000,Yfinnce
10,NVDA,14/09/2023,45.950001,45.987,45.131001,45.581001,45.571114,370097000,Yfinnce
11,NVDA,15/09/2023,45.341,45.598999,43.807999,43.900002,43.890476,506831000,Yfinnce
12,NVDA,18/09/2023,42.748001,44.242001,42,43.966,43.956459,500271000,Yfinnce
13,NVDA,19/09/2023,43.833,43.966,43.001999,43.52,43.510559,373064000,Yfinnce
14,NVDA,20/09/2023,43.599998,43.903,42.223,42.238998,42.229839,367108000,Yfinnce
15,NVDA,21/09/2023,41.583,42.099998,40.98,41.016998,41.008102,450736000,Yfinnce
16,NVDA,22/09/2023,41.571999,42.115002,41.230999,41.610001,41.600971,479236000,Yfinnce
17,NVDA,25/09/2023,41.591,42.535999,41.176998,42.222,42.212841,419091000,Yfinnce
18,NVDA,26/09/2023,42.000999,42.82,41.654999,41.910999,41.901909,402282000,Yfinnce
19,NVDA,27/09/2023,42.330002,42.872002,41.629002,42.467999,42.458786,444935000,Yfinnce
20,NVDA,28/09/2023,42.459999,43.445999,42.115002,43.089001,43.079651,424663000,Yfinnce
21,NVDA,29/09/2023,43.827,44.144001,43.306999,43.499001,43.489563,397830000,Yfinnce
22,NVDA,02/10/2023,44.029999,45.174999,43.861,44.782001,44.772285,433298000,Yfinnce
23,NVDA,03/10/2023,44.807999,45.130001,43.245998,43.516998,43.507557,470850000,Yfinnce
24,NVDA,04/10/2023,43.742001,44.143002,43.292,44.041,44.031445,361821000,Yfinnce
25,NVDA,05/10/2023,44.049999,44.900002,43.888,44.688,44.678303,393483000,Yfinnce
26,NVDA,06/10/2023,44.193001,45.789001,44.026001,45.762001,45.752071,434436000,Yfinnce
27,NVDA,09/10/2023,44.841999,45.605,44.368,45.272999,45.263176,409675000,Yfinnce
28,NVDA,10/10/2023,45.310001,46.258999,45.088001,45.798,45.788067,368582000,Yfinnce
29,NVDA,11/10/2023,46.195999,46.859001,46.049999,46.806,46.795841,378137000,Yfinnce
30,NVDA,12/10/2023,46.777,47.609001,46.330002,46.945,46.934814,481325000,Yfinnce
31,NVDA,13/10/2023,46.959999,47.116001,45.279999,45.460999,45.451134,474115000,Yfinnce
32,NVDA,16/10/2023,45.063,46.224998,44.911999,46.095001,46.085003,375099000,Yfinnce
33,NVDA,17/10/2023,44,44.754002,42.48,43.938,43.928467,812333000,Yfinnce
34,NVDA,18/10/2023,42.591,43.219002,41.825001,42.195999,42.186848,627294000,Yfinnce
35,NVDA,19/10/2023,42.811001,43.297001,41.882,42.101002,42.091869,501233000,Yfinnce
36,NVDA,20/10/2023,41.889999,42.470001,41.077999,41.387001,41.378021,477266000,Yfinnce
37,NVDA,23/10/2023,41.229,43.248001,40.945,42.974998,42.965679,478530000,Yfinnce
38,NVDA,24/10/2023,43.077,43.696999,42.691002,43.662998,43.653526,401463000,Yfinnce
39,NVDA,25/10/2023,43.397999,43.650002,41.555,41.778999,41.769932,398379000,Yfinnce
40,NVDA,26/10/2023,41.853001,42.256001,39.880001,40.326,40.317253,541001000,Yfinnce
41,NVDA,27/10/2023,41.130001,41.206001,40.014999,40.5,40.491215,416784000,Yfinnce
42,NVDA,30/10/2023,41.087002,41.765999,40.480999,41.160999,41.152069,388028000,Yfinnce
43,NVDA,31/10/2023,40.450001,40.879002,39.23,40.779999,40.771152,517969000,Yfinnce
44,NVDA,01/11/2023,40.883999,42.381001,40.868999,42.325001,42.315823,437593000,Yfinnce
45,NVDA,02/11/2023,43.327999,43.883999,42.894001,43.506001,43.496559,409172000,Yfinnce
46,NVDA,03/11/2023,44.02,45.308998,43.723,45.005001,44.995239,424610000,Yfinnce
47,NVDA,06/11/2023,45.285,45.935001,44.898998,45.750999,45.741074,400733000,Yfinnce
48,NVDA,07/11/2023,45.719002,46.217999,45.158001,45.955002,45.945034,343165000,Yfinnce
49,NVDA,08/11/2023,46.099998,46.867001,45.967999,46.574001,46.563896,346719000,Yfinnce
50,NVDA,09/11/2023,47.466999,48.23,46.75,46.950001,46.939816,540496000,Yfinnce
51,NVDA,10/11/2023,47.5,48.472,47.283001,48.334999,48.324512,421245000,Yfinnce
52,NVDA,13/11/2023,48.32,49.116001,48.098999,48.619999,48.609451,384136000,Yfinnce
53,NVDA,14/11/2023,49.68,49.834,49.040001,49.655998,49.645226,416954000,Yfinnce
54,NVDA,15/11/2023,49.935001,49.959999,48.200001,48.888,48.877392,475497000,Yfinnce
55,NVDA,16/11/2023,48.679001,49.525002,48.330002,49.48,49.469269,339756000,Yfinnce
56,NVDA,17/11/2023,49.523998,49.716999,49.007,49.298,49.287308,325205000,Yfinnce
57,NVDA,20/11/2023,49.312,50.548,49.181,50.409,50.398064,414120000,Yfinnce
58,NVDA,21/11/2023,50.125999,50.516998,49.222,49.944,49.933167,565747000,Yfinnce
59,NVDA,22/11/2023,49.852001,50.334999,47.689999,48.716,48.705429,899420000,Yfinnce
60,NVDA,24/11/2023,48.470001,48.921001,47.744999,47.776001,47.765636,294645000,Yfinnce
61,NVDA,27/11/2023,47.799999,48.529999,47.652,48.242001,48.231533,395662000,Yfinnce
62,NVDA,28/11/2023,48.236,48.323002,47.473,47.820999,47.810623,401491000,Yfinnce
63,NVDA,29/11/2023,48.379002,48.762001,47.860001,48.139999,48.129559,382005000,Yfinnce
64,NVDA,30/11/2023,48.023998,48.110001,46.422001,46.77,46.759853,526247000,Yfinnce
65,NVDA,01/12/2023,46.525002,47.200001,46.187,46.764999,46.754852,369317000,Yfinnce
66,NVDA,04/12/2023,46.077,46.077,45.009998,45.509998,45.500122,437543000,Yfinnce
67,NVDA,05/12/2023,45.466,46.599998,45.271,46.566002,46.55999,371718000,Yfinnce
68,NVDA,06/12/2023,47.215,47.387001,45.411999,45.502998,45.497124,380590000,Yfinnce
69,NVDA,07/12/2023,45.700001,46.629002,45.604,46.596001,46.589989,350823000,Yfinnce
70,NVDA,08/12/2023,46.595001,47.741001,46.549999,47.506001,47.49987,359224000,Yfinnce
71,NVDA,11/12/2023,47.491001,47.530998,45.830002,46.626999,46.620983,509728000,Yfinnce
72,NVDA,12/12/2023,46.046001,47.666,46.046001,47.657001,47.650852,372387000,Yfinnce
73,NVDA,13/12/2023,47.629002,48.594002,47.608002,48.088001,48.081799,447792000,Yfinnce
74,NVDA,14/12/2023,48.389999,48.669998,47.422001,48.349998,48.343758,391232000,Yfinnce
75,NVDA,15/12/2023,48.194,49.403999,48.119999,48.889999,48.88369,479948000,Yfinnce
76,NVDA,18/12/2023,49.400002,50.432999,49.150002,50.077,50.070538,412587000,Yfinnce
77,NVDA,19/12/2023,49.424,49.700001,48.895,49.604,49.597599,464444000,Yfinnce
78,NVDA,20/12/2023,49.654999,49.999001,48.098,48.111,48.10479,397894000,Yfinnce
79,NVDA,21/12/2023,48.811001,49.095001,48.418999,48.990002,48.983681,300425000,Yfinnce
80,NVDA,22/12/2023,49.195,49.382999,48.466999,48.830002,48.823704,252507000,Yfinnce
81,NVDA,26/12/2023,48.967999,49.599998,48.959999,49.278999,49.27264,244200000,Yfinnce
82,NVDA,27/12/2023,49.511002,49.68,49.084999,49.417,49.410622,233648000,Yfinnce
83,NVDA,28/12/2023,49.643002,49.883999,49.411999,49.521999,49.51561,246587000,Yfinnce
84,NVDA,29/12/2023,49.813,49.997002,48.750999,49.521999,49.51561,389293000,Yfinnce
85,NVDA,02/01/2024,49.243999,49.294998,47.595001,48.167999,48.161785,411254000,Yfinnce
86,NVDA,03/01/2024,47.485001,48.183998,47.32,47.569,47.562862,320896000,Yfinnce
87,NVDA,04/01/2024,47.766998,48.5,47.507999,47.998001,47.99181,306535000,Yfinnce
88,NVDA,05/01/2024,48.462002,49.547001,48.306,49.097,49.090664,415039000,Yfinnce
89,NVDA,08/01/2024,49.512001,52.275002,49.479,52.252998,52.246254,642510000,Yfinnce
90,NVDA,09/01/2024,52.401001,54.325001,51.689999,53.139999,53.133144,773100000,Yfinnce
91,NVDA,10/01/2024,53.616001,54.599998,53.488998,54.349998,54.342987,533796000,Yfinnce
92,NVDA,11/01/2024,54.999001,55.346001,53.560001,54.821999,54.814926,596759000,Yfinnce
93,NVDA,12/01/2024,54.619999,54.970001,54.330002,54.709999,54.702938,352994000,Yfinnce
94,NVDA,16/01/2024,55.018002,56.834999,54.900002,56.382,56.374725,449580000,Yfinnce
95,NVDA,17/01/2024,56.347,56.471001,54.740002,56.053001,56.045769,474394000,Yfinnce
96,NVDA,18/01/2024,57.259998,57.599998,56.106998,57.106998,57.099628,491650000,Yfinnce
97,NVDA,19/01/2024,57.988998,59.5,57.224998,59.491001,59.483322,543501000,Yfinnce
98,NVDA,22/01/2024,60.049,60.331001,59.07,59.653999,59.646301,452955000,Yfinnce
99,NVDA,23/01/2024,59.57,59.91,58.584999,59.873001,59.865276,294654000,Yfinnce
100,NVDA,24/01/2024,60.304001,62.848999,59.938,61.362,61.35408,560271000,Yfinnce
101,NVDA,25/01/2024,62.349998,62.719002,60.849998,61.617001,61.609047,482777000,Yfinnce
102,NVDA,26/01/2024,60.959999,61.783001,60.573002,61.030998,61.023125,390309000,Yfinnce
103,NVDA,29/01/2024,61.231998,62.488998,60.907001,62.465,62.45694,348733000,Yfinnce
104,NVDA,30/01/2024,62.900002,63.493,62.259998,62.773998,62.765896,410735000,Yfinnce
105,NVDA,31/01/2024,61.439999,62.269001,60.700001,61.527,61.519058,453795000,Yfinnce
106,NVDA,01/02/2024,62.099998,63.191002,61.650002,63.027,63.018867,369146000,Yfinnce
107,NVDA,02/02/2024,63.973999,66.599998,63.689999,66.160004,66.151466,476578000,Yfinnce
108,NVDA,05/02/2024,68.224998,69.497002,67.205002,69.332001,69.323059,680078000,Yfinnce
109,NVDA,06/02/2024,69.629997,69.753998,66.300003,68.223,68.214203,683111000,Yfinnce
110,NVDA,07/02/2024,68.319,70.220001,67.599998,70.098999,70.089951,495575000,Yfinnce
111,NVDA,08/02/2024,70.073997,70.793999,69.455002,69.640999,69.632011,414422000,Yfinnce
112,NVDA,09/02/2024,70.532997,72.184998,70.211998,72.133003,72.123688,436637000,Yfinnce
113,NVDA,12/02/2024,72.599998,74.611,71.25,72.248001,72.238678,613710000,Yfinnce
114,NVDA,13/02/2024,70.400002,73.449997,69.620003,72.127998,72.118698,602580000,Yfinnce
115,NVDA,14/02/2024,73.202003,74.236,71.938004,73.900002,73.890465,504917000,Yfinnce
116,NVDA,15/02/2024,73.869003,73.974998,72.400002,72.657997,72.648621,420122000,Yfinnce
117,NVDA,16/02/2024,74.099998,74.402,72.500999,72.612999,72.60363,495327000,Yfinnce
118,NVDA,20/02/2024,71.946999,71.956001,67.734001,69.452003,69.443039,704833000,Yfinnce
119,NVDA,21/02/2024,68.005997,68.888,66.248001,67.472,67.463295,690298000,Yfinnce
120,NVDA,22/02/2024,75.025002,78.574997,74.220001,78.538002,78.52787,865100000,Yfinnce
121,NVDA,23/02/2024,80.790001,82.393997,77.57,78.817001,78.806831,829388000,Yfinnce
122,NVDA,26/02/2024,79.699997,80.646004,78.504997,79.092003,79.081802,503973000,Yfinnce
123,NVDA,27/02/2024,79.380997,79.480003,77.162003,78.700996,78.690842,391705000,Yfinnce
124,NVDA,28/02/2024,77.620003,78.932999,77.125,77.663002,77.652977,393110000,Yfinnce
125,NVDA,29/02/2024,79.094002,79.989998,78.349998,79.112,79.101791,507289000,Yfinnce
126,NVDA,01/03/2024,80,82.300003,79.434998,82.278999,82.268379,479135000,Yfinnce
127,NVDA,04/03/2024,84.129997,87.695,83.719002,85.237,85.225998,615616000,Yfinnce
128,NVDA,05/03/2024,85.269997,86.097,83.417,85.963997,85.95694,520639000,Yfinnce
129,NVDA,06/03/2024,88.022003,89.723999,87.029999,88.699997,88.692711,582520000,Yfinnce
130,NVDA,07/03/2024,90.157997,92.766998,89.601997,92.668999,92.661385,608119000,Yfinnce
131,NVDA,08/03/2024,95.138,97.400002,86.505997,87.528,87.520813,1142269000,Yfinnce
132,NVDA,11/03/2024,86.429001,88.796997,84.166,85.774002,85.76696,678364000,Yfinnce
133,NVDA,12/03/2024,88.049004,91.959999,86.150002,91.913002,91.905449,668075000,Yfinnce
134,NVDA,13/03/2024,91.055,91.503998,88.434998,90.888,90.880539,635713000,Yfinnce
135,NVDA,14/03/2024,89.577003,90.646004,86.599998,87.944,87.936775,602318000,Yfinnce
136,NVDA,15/03/2024,86.93,89.545998,86.257004,87.836998,87.829781,642086000,Yfinnce
137,NVDA,18/03/2024,90.388,92.404999,87.084999,88.455002,88.447739,668976000,Yfinnce
138,NVDA,19/03/2024,86.699997,90.543999,85.010002,89.398003,89.390663,672171000,Yfinnce
139,NVDA,20/03/2024,89.796997,90.410004,88.223,90.372002,90.364578,479063000,Yfinnce
140,NVDA,21/03/2024,92.300003,92.648003,90.404999,91.434998,91.42749,480372000,Yfinnce
141,NVDA,22/03/2024,91.140999,94.778,90.834,94.289001,94.281258,586719000,Yfinnce
142,NVDA,25/03/2024,93.941002,96.765999,93.510002,95.001999,94.994194,552136000,Yfinnce
143,NVDA,26/03/2024,95.850998,96.375,92.501999,92.560997,92.553398,513648000,Yfinnce
144,NVDA,27/03/2024,93.112,93.239998,89.123001,90.25,90.242584,586067000,Yfinnce
145,NVDA,28/03/2024,90,91.300003,89.193001,90.356003,90.348579,435212000,Yfinnce
146,NVDA,01/04/2024,90.299004,92.224998,89.204002,90.362999,90.355576,452441000,Yfinnce
147,NVDA,02/04/2024,88.447998,90.094002,87.620003,89.452003,89.444656,433064000,Yfinnce
148,NVDA,03/04/2024,88.484001,90.374001,88.400002,88.963997,88.956688,370067000,Yfinnce
149,NVDA,04/04/2024,90.405998,90.634003,85.879997,85.904999,85.897942,434965000,Yfinnce
150,NVDA,05/04/2024,86.865997,88.481003,85.926003,88.008003,88.000778,399678000,Yfinnce
151,NVDA,08/04/2024,88.699997,88.830002,86.732002,87.133003,87.125847,283220000,Yfinnce
152,NVDA,09/04/2024,87.442001,87.635002,83.022003,85.353996,85.346985,503547000,Yfinnce
153,NVDA,10/04/2024,83.926003,87.400002,83.709,87.039001,87.031853,431929000,Yfinnce
154,NVDA,11/04/2024,87.419998,90.738998,86.926003,90.615997,90.608551,431637000,Yfinnce
155,NVDA,12/04/2024,89.698997,90.175003,87.529999,88.185997,88.178757,426805000,Yfinnce
156,NVDA,15/04/2024,89.098,90.612999,85.929001,86.000999,85.993935,443077000,Yfinnce
157,NVDA,16/04/2024,86.432999,88.117996,86.064003,87.415001,87.407822,370453000,Yfinnce
158,NVDA,17/04/2024,88.339996,88.775002,83.949997,84.035004,84.028099,495400000,Yfinnce
159,NVDA,18/04/2024,84.970001,86.190002,82.402,84.670998,84.66404,447260000,Yfinnce
160,NVDA,19/04/2024,83.150002,84.323997,75.606003,76.199997,76.193741,875198000,Yfinnce
161,NVDA,22/04/2024,78.103996,80.072998,76.400002,79.517998,79.511467,596341000,Yfinnce
162,NVDA,23/04/2024,80.768997,82.768997,80.264,82.422997,82.416229,438559000,Yfinnce
163,NVDA,24/04/2024,83.949997,84.082001,79.182999,79.677002,79.670456,512208000,Yfinnce
164,NVDA,25/04/2024,78.867996,83.322998,78.223,82.632004,82.625214,424641000,Yfinnce
165,NVDA,26/04/2024,83.818001,88.331001,83.387001,87.735001,87.727791,551011000,Yfinnce
166,NVDA,29/04/2024,87.595001,87.991997,85.265999,87.757004,87.749794,388971000,Yfinnce
167,NVDA,30/04/2024,87.239998,88.819,86.300003,86.402,86.394905,363709000,Yfinnce
168,NVDA,01/05/2024,85.077003,86,81.254997,83.041,83.03418,559863000,Yfinnce
169,NVDA,02/05/2024,84.448997,86.237,83.199997,85.817001,85.809952,377898000,Yfinnce
170,NVDA,03/05/2024,87.789001,89.280998,87.040001,88.789001,88.781708,398341000,Yfinnce
171,NVDA,06/05/2024,89.389999,92.220001,89.055,92.139999,92.132431,376203000,Yfinnce
172,NVDA,07/05/2024,91.098,91.780998,89.011002,90.554001,90.546562,437342000,Yfinnce
173,NVDA,08/05/2024,89.483002,91.194,89.419998,90.412003,90.404579,325721000,Yfinnce
174,NVDA,09/05/2024,90.528999,91.071999,88.231003,88.747002,88.739716,378013000,Yfinnce
175,NVDA,10/05/2024,90.305,91.401001,89.226997,89.877998,89.870613,335325000,Yfinnce
176,NVDA,13/05/2024,90.477997,90.998001,88.528999,90.399002,90.391579,289680000,Yfinnce
177,NVDA,14/05/2024,89.598999,91.651001,88.933998,91.356003,91.348495,296507000,Yfinnce
