ID,STICKER,Date,Open,High,Low,Close,Adj Close,Volume,SOURCE
1,PZZA,31/08/2023,77.410004,77.970001,75.540001,75.699997,73.297722,915000,Yfinnce
2,PZZA,01/09/2023,78.099998,78.879997,76.800003,77.150002,74.701714,822000,Yfinnce
3,PZZA,05/09/2023,77.330002,79.410004,76.540001,76.580002,74.149803,929800,Yfinnce
4,PZZA,06/09/2023,76.239998,76.610001,74.769997,74.919998,72.542473,443900,Yfinnce
5,PZZA,07/09/2023,74.910004,77.279999,74.279999,77.260002,74.80822,628000,Yfinnce
6,PZZA,08/09/2023,77.349998,77.769997,75.82,76.589996,74.159477,803800,Yfinnce
7,PZZA,11/09/2023,77.099998,77.650002,76.559998,76.980003,74.537102,1130200,Yfinnce
8,PZZA,12/09/2023,76.669998,76.82,75,76.730003,74.295044,885200,Yfinnce
9,PZZA,13/09/2023,77.019997,78.220001,76.779999,77.489998,75.030922,1171000,Yfinnce
10,PZZA,14/09/2023,77.68,78.650002,77.099998,78.099998,75.621567,1291400,Yfinnce
11,PZZA,15/09/2023,78.300003,78.739998,76.360001,76.870003,74.430603,6890200,Yfinnce
12,PZZA,18/09/2023,76.510002,76.519997,74.440002,75.620003,73.220268,909900,Yfinnce
13,PZZA,19/09/2023,75.470001,76.160004,74.300003,74.339996,71.980873,636700,Yfinnce
14,PZZA,20/09/2023,74.879997,75.610001,74.540001,74.690002,72.319778,692100,Yfinnce
15,PZZA,21/09/2023,74.43,74.580002,72.199997,72.5,70.199272,779400,Yfinnce
16,PZZA,22/09/2023,72.57,73.089996,71.639999,71.68,69.405304,825100,Yfinnce
17,PZZA,25/09/2023,71.169998,71.169998,69.010002,69.290001,67.091141,966700,Yfinnce
18,PZZA,26/09/2023,68.82,69.349998,67.400002,67.489998,65.348259,786900,Yfinnce
19,PZZA,27/09/2023,67.580002,68.669998,67.580002,68.279999,66.113197,705200,Yfinnce
20,PZZA,28/09/2023,68.150002,68.839996,67.529999,68.440002,66.26812,781100,Yfinnce
21,PZZA,29/09/2023,69.330002,69.330002,67.709999,68.220001,66.055099,719800,Yfinnce
22,PZZA,02/10/2023,68.360001,69.269997,67.580002,68.510002,66.335899,784700,Yfinnce
23,PZZA,03/10/2023,68.209999,68.209999,64.879997,65.260002,63.189037,976200,Yfinnce
24,PZZA,04/10/2023,65.599998,66,64.150002,65.07,63.005054,906100,Yfinnce
25,PZZA,05/10/2023,64.650002,65.480003,63.599998,64.440002,62.395054,590700,Yfinnce
26,PZZA,06/10/2023,63.689999,64.690002,61.790001,64.239998,62.201397,1099900,Yfinnce
27,PZZA,09/10/2023,63.720001,64.529999,62.630001,63.029999,61.029797,704900,Yfinnce
28,PZZA,10/10/2023,63.349998,65.660004,63.02,65.540001,63.46014,709600,Yfinnce
29,PZZA,11/10/2023,66.010002,66.290001,64.330002,65.129997,63.063148,514700,Yfinnce
30,PZZA,12/10/2023,64.980003,65.839996,63.799999,65.230003,63.159981,825500,Yfinnce
31,PZZA,13/10/2023,65.260002,66.720001,65.120003,65.550003,63.46983,741100,Yfinnce
32,PZZA,16/10/2023,66.209999,66.699997,65.260002,66.440002,64.331581,623100,Yfinnce
33,PZZA,17/10/2023,66.220001,68.050003,66.220001,67.309998,65.173973,471100,Yfinnce
34,PZZA,18/10/2023,66.959999,67.809998,65.910004,67.019997,64.893173,484500,Yfinnce
35,PZZA,19/10/2023,67.029999,67.860001,66.220001,66.370003,64.263809,621700,Yfinnce
36,PZZA,20/10/2023,66.089996,66.230003,64.989998,65.080002,63.014744,537700,Yfinnce
37,PZZA,23/10/2023,64.599998,65.519997,63.990002,64.260002,62.220764,704700,Yfinnce
38,PZZA,24/10/2023,65.040001,65.32,63.970001,64.68,62.627434,572600,Yfinnce
39,PZZA,25/10/2023,64.190002,64.419998,63.16,64.32,62.278858,718600,Yfinnce
40,PZZA,26/10/2023,63.900002,64.400002,62.669998,63.16,61.155666,683200,Yfinnce
41,PZZA,27/10/2023,63.639999,65.870003,63.009998,65.199997,63.130936,964700,Yfinnce
42,PZZA,30/10/2023,65.199997,65.910004,64.18,64.970001,62.908234,937200,Yfinnce
43,PZZA,31/10/2023,65.209999,66.160004,64.410004,65.019997,62.956642,837200,Yfinnce
44,PZZA,01/11/2023,65.209999,65.389999,62.959999,65.269997,63.1987,1117800,Yfinnce
45,PZZA,02/11/2023,67.860001,67.860001,60.66,62.959999,60.962017,1683700,Yfinnce
46,PZZA,03/11/2023,63.209999,68.129997,62.759998,68,65.842079,1334600,Yfinnce
47,PZZA,06/11/2023,68.360001,68.580002,66.849998,68.150002,65.987328,840500,Yfinnce
48,PZZA,07/11/2023,68.440002,69.07,67.309998,67.629997,65.483818,650400,Yfinnce
49,PZZA,08/11/2023,67.82,67.949997,65.389999,66.620003,64.505867,506600,Yfinnce
50,PZZA,09/11/2023,66.839996,66.849998,63.950001,64.739998,62.685528,653600,Yfinnce
51,PZZA,10/11/2023,64.480003,64.620003,63.43,64.449997,62.851315,736700,Yfinnce
52,PZZA,13/11/2023,64.449997,64.639999,63.389999,63.959999,62.373466,403100,Yfinnce
53,PZZA,14/11/2023,64.790001,66.779999,64.779999,66.610001,64.957741,1079400,Yfinnce
54,PZZA,15/11/2023,66.93,69.510002,66.93,68.980003,67.268951,609400,Yfinnce
55,PZZA,16/11/2023,68.510002,69.059998,66.669998,67.209999,65.542862,498300,Yfinnce
56,PZZA,17/11/2023,67.529999,68.080002,66.279999,66.32,64.674927,484200,Yfinnce
57,PZZA,20/11/2023,66.199997,67.239998,65.900002,67.190002,65.523346,363800,Yfinnce
58,PZZA,21/11/2023,67.089996,67.089996,65.900002,65.919998,64.284851,344500,Yfinnce
59,PZZA,22/11/2023,66.139999,67.610001,66.139999,66.910004,65.250298,321400,Yfinnce
60,PZZA,24/11/2023,66.669998,67.580002,66.379997,67.440002,65.767143,246500,Yfinnce
61,PZZA,27/11/2023,67.290001,68.260002,66.440002,66.760002,65.104019,624700,Yfinnce
62,PZZA,28/11/2023,66.660004,66.82,65.599998,66.080002,64.44088,411200,Yfinnce
63,PZZA,29/11/2023,66.5,67.68,65.339996,65.519997,63.894768,406600,Yfinnce
64,PZZA,30/11/2023,65.370003,65.519997,64.32,65.239998,63.621716,477900,Yfinnce
65,PZZA,01/12/2023,65.120003,67.790001,64.07,67.660004,65.981697,496000,Yfinnce
66,PZZA,04/12/2023,67.68,71.489998,67.68,69.720001,67.990593,1041800,Yfinnce
67,PZZA,05/12/2023,69.209999,69.959999,68.389999,69.099998,67.385963,625600,Yfinnce
68,PZZA,06/12/2023,69.629997,70.360001,68.699997,70.07,68.331917,725000,Yfinnce
69,PZZA,07/12/2023,70.110001,71.209999,69.730003,71.040001,69.277855,453900,Yfinnce
70,PZZA,08/12/2023,70.849998,71.25,69.989998,70.139999,68.400169,455200,Yfinnce
71,PZZA,11/12/2023,70.470001,71.559998,70.139999,71.010002,69.248596,562300,Yfinnce
72,PZZA,12/12/2023,71.209999,71.68,70.209999,71.639999,69.862961,424400,Yfinnce
73,PZZA,13/12/2023,71.389999,74.279999,70.349998,73.699997,71.871864,735800,Yfinnce
74,PZZA,14/12/2023,74.709999,76.010002,74.110001,75.5,73.62722,649400,Yfinnce
75,PZZA,15/12/2023,75.599998,75.849998,73.120003,73.739998,71.910881,873100,Yfinnce
76,PZZA,18/12/2023,73.790001,73.790001,72.300003,72.760002,70.955193,505900,Yfinnce
77,PZZA,19/12/2023,73.75,74.300003,72.82,73.209999,71.39402,421300,Yfinnce
78,PZZA,20/12/2023,73.040001,74.120003,72.220001,72.550003,70.750397,360700,Yfinnce
79,PZZA,21/12/2023,73.330002,74.110001,72.410004,73.440002,71.618324,366600,Yfinnce
80,PZZA,22/12/2023,73.519997,75.660004,72.75,75.389999,73.519943,423200,Yfinnce
81,PZZA,26/12/2023,75.360001,77.120003,74.959999,76.699997,74.797447,420600,Yfinnce
82,PZZA,27/12/2023,76.989998,78.360001,76.050003,77.910004,75.97744,485800,Yfinnce
