ID,STICKER,Date,Open,High,Low,Close,Adj Close,Volume,SOURCE
1,SBUX,31/08/2023,99,99.330002,97.279999,97.440002,95.028267,5624500,Yfinnce
2,SBUX,01/09/2023,98.400002,98.75,97.040001,98,95.574402,4747100,Yfinnce
3,SBUX,05/09/2023,97.519997,97.809998,96.589996,96.839996,94.443115,5414300,Yfinnce
4,SBUX,06/09/2023,96.419998,96.550003,95.370003,95.949997,93.575142,5428400,Yfinnce
5,SBUX,07/09/2023,95.489998,95.82,95.019997,95.099998,92.746178,6404100,Yfinnce
6,SBUX,08/09/2023,95.25,95.849998,94.75,95.279999,92.921722,4754700,Yfinnce
7,SBUX,11/09/2023,95.650002,96.230003,95.220001,95.669998,93.302071,5577500,Yfinnce
8,SBUX,12/09/2023,95.5,96.510002,95.199997,96.239998,93.857964,5007600,Yfinnce
9,SBUX,13/09/2023,96.199997,97.300003,96.040001,96.93,94.530891,5830200,Yfinnce
10,SBUX,14/09/2023,96.769997,97.779999,96.25,97.160004,94.755196,6039700,Yfinnce
11,SBUX,15/09/2023,97.25,97.470001,96.050003,96.230003,93.848213,8766700,Yfinnce
12,SBUX,18/09/2023,96.300003,96.970001,96.089996,96.760002,94.365097,4477500,Yfinnce
13,SBUX,19/09/2023,95.209999,95.470001,94.269997,95.290001,92.931488,6803000,Yfinnce
14,SBUX,20/09/2023,95.449997,96.620003,95.050003,95.160004,92.804695,4572100,Yfinnce
15,SBUX,21/09/2023,95.160004,95.32,93.029999,93.099998,90.795677,6108800,Yfinnce
16,SBUX,22/09/2023,93.43,94.339996,93.370003,93.68,91.361328,5118900,Yfinnce
17,SBUX,25/09/2023,92.889999,93.470001,92.25,92.739998,90.444588,4818800,Yfinnce
18,SBUX,26/09/2023,92,92.489998,91.18,92,89.722908,6086600,Yfinnce
19,SBUX,27/09/2023,92.459999,92.730003,90.379997,91.169998,88.913445,4731500,Yfinnce
20,SBUX,28/09/2023,91.169998,91.389999,90.209999,91.080002,88.825684,4736300,Yfinnce
21,SBUX,29/09/2023,92.610001,93.059998,90.839996,91.269997,89.010979,7698600,Yfinnce
22,SBUX,02/10/2023,91.050003,91.739998,90.790001,91.129997,88.874443,6430500,Yfinnce
23,SBUX,03/10/2023,90.5,91.07,89.209999,89.480003,87.265289,6666600,Yfinnce
24,SBUX,04/10/2023,89.889999,91.43,89.809998,91.150002,88.893959,6166100,Yfinnce
25,SBUX,05/10/2023,91.139999,93.050003,91.139999,92.370003,90.083748,7548600,Yfinnce
26,SBUX,06/10/2023,92,93.339996,91.68,92.849998,90.551872,6978900,Yfinnce
27,SBUX,09/10/2023,92.449997,92.790001,91.43,92.68,90.386078,4120700,Yfinnce
28,SBUX,10/10/2023,92.959999,93.970001,92.870003,93.18,90.873711,4974800,Yfinnce
29,SBUX,11/10/2023,93.290001,93.629997,91.849998,91.949997,89.674149,4499200,Yfinnce
30,SBUX,12/10/2023,91.839996,92.25,90.769997,91.419998,89.157265,5485200,Yfinnce
31,SBUX,13/10/2023,91.279999,92.059998,91.050003,91.480003,89.21579,4780100,Yfinnce
32,SBUX,16/10/2023,92.169998,93.860001,91.849998,93.650002,91.332077,4595900,Yfinnce
33,SBUX,17/10/2023,92.75,94.190002,92.629997,94.18,91.848953,6086700,Yfinnce
34,SBUX,18/10/2023,93.940002,94.529999,93.5,93.75,91.429596,4110700,Yfinnce
35,SBUX,19/10/2023,94.370003,95.660004,94.169998,94.419998,92.083008,5610800,Yfinnce
36,SBUX,20/10/2023,94.620003,95.089996,94.139999,94.190002,91.858704,4698000,Yfinnce
37,SBUX,23/10/2023,93.93,95.029999,93.290001,94.199997,91.868462,4481000,Yfinnce
38,SBUX,24/10/2023,94.279999,94.980003,94.059998,94.620003,92.278069,3600200,Yfinnce
39,SBUX,25/10/2023,94.32,95.360001,93.970001,94,91.673409,5497300,Yfinnce
40,SBUX,26/10/2023,93.809998,94.480003,92.599998,92.669998,90.376328,6201700,Yfinnce
41,SBUX,27/10/2023,92.639999,93.730003,91.769997,92.019997,89.742416,8293600,Yfinnce
42,SBUX,30/10/2023,93.120003,93.709999,92.720001,93.150002,90.844452,7852700,Yfinnce
43,SBUX,31/10/2023,93.169998,93.32,92,92.239998,89.956963,9308300,Yfinnce
44,SBUX,01/11/2023,91.830002,91.860001,90.550003,91.349998,89.088997,14292500,Yfinnce
45,SBUX,02/11/2023,100.989998,101.919998,99.739998,100.010002,97.53466,23396300,Yfinnce
46,SBUX,03/11/2023,100.620003,103.769997,100.5,102.650002,100.109314,15994400,Yfinnce
47,SBUX,06/11/2023,102.870003,104.089996,101.970001,104.029999,101.455154,7532000,Yfinnce
48,SBUX,07/11/2023,104.230003,104.389999,103.330002,103.68,101.113823,6239500,Yfinnce
49,SBUX,08/11/2023,103.739998,104.82,103.650002,104.300003,101.718475,7453000,Yfinnce
50,SBUX,09/11/2023,104.300003,104.459999,102.029999,102.230003,100.247559,7607000,Yfinnce
